ticker,file,rows,min_date,max_date,problem_count,problems
ALPHA.NS,ALPHA_NS.parquet,1172,2021-12-22,2026-09-18,0,
AUTOBEES.NS,AUTOBEES_NS.parquet,1151,2022-01-24,2026-09-18,0,
BANKBEES.NS,BANKBEES_NS.parquet,3139,2014-01-01,2026-09-18,0,
BSE500IETF.NS,BSE500IETF_NS.parquet,680,2023-12-12,2026-09-18,0,
CONSUMBEES.NS,CONSUMBEES_NS.parquet,2910,2014-04-22,2026-09-18,0,
CPSEETF.NS,CPSEETF_NS.parquet,3076,2014-03-28,2026-09-18,0,
ESG.NS,ESG_NS.parquet,750,2023-08-29,2026-09-18,0,
GOLDBEES.NS,GOLDBEES_NS.parquet,3138,2014-01-01,2026-09-18,0,
HDFCGOLD.NS,HDFCGOLD_NS.parquet,793,2023-06-08,2026-09-18,0,
HDFCNEXT50.NS,HDFCNEXT50_NS.parquet,1015,2022-08-11,2026-09-18,0,
HDFCNIFTY.NS,HDFCNIFTY_NS.parquet,793,2023-06-08,2026-09-18,0,
HDFCSENSEX.NS,HDFCSENSEX_NS.parquet,2045,2018-05-08,2026-09-18,0,
HNGSNGBEES.NS,HNGSNGBEES_NS.parquet,3137,2014-01-01,2026-09-18,0,
ICICIB22.NS,ICICIB22_NS.parquet,1676,2019-12-16,2026-09-18,0,
ITBEES.NS,ITBEES_NS.parquet,1546,2020-06-30,2026-09-18,0,
JUNIORBEES.NS,JUNIORBEES_NS.parquet,3139,2014-01-01,2026-09-18,0,
LIQUIDBEES.NS,LIQUIDBEES_NS.parquet,3139,2014-01-01,2026-09-18,0,
LIQUIDCASE.NS,LIQUIDCASE_NS.parquet,663,2024-01-17,2026-09-18,0,
LOWVOL1.NS,LOWVOL1_NS.parquet,1112,2022-03-22,2026-09-18,0,
MAFANG.NS,MAFANG_NS.parquet,1326,2021-05-14,2026-09-18,0,
METAL.NS,METAL_NS.parquet,487,2024-10-07,2026-09-18,0,
MID150BEES.NS,MID150BEES_NS.parquet,1771,2019-02-04,2026-09-18,0,
MOM100.NS,MOM100_NS.parquet,3138,2014-01-01,2026-09-18,0,
MOM30IETF.NS,MOM30IETF_NS.parquet,553,2024-06-24,2026-09-18,0,
MOMENTUM.NS,MOMENTUM_NS.parquet,1009,2022-08-19,2026-09-18,0,
MON100.NS,MON100_NS.parquet,3139,2014-01-01,2026-09-18,0,
MONQ50.NS,MONQ50_NS.parquet,1169,2021-12-29,2026-09-18,0,
NIFTY1.NS,NIFTY1_NS.parquet,3138,2014-01-01,2026-09-18,0,
NIFTYBEES.NS,NIFTYBEES_NS.parquet,3139,2014-01-01,2026-09-18,0,
NIFTYETF.NS,NIFTYETF_NS.parquet,1937,2018-11-21,2026-09-18,0,
NIFTYIETF.NS,NIFTYIETF_NS.parquet,619,2023-12-12,2026-09-18,0,
NIFTYQLITY.NS,NIFTYQLITY_NS.parquet,1009,2022-08-19,2026-09-18,0,
PHARMABEES.NS,PHARMABEES_NS.parquet,1267,2021-07-07,2026-09-18,0,
PSUBANK.NS,PSUBANK_NS.parquet,3138,2014-01-01,2026-09-18,0,
QUAL30IETF.NS,QUAL30IETF_NS.parquet,762,2023-08-10,2026-09-18,0,
SETFGOLD.NS,SETFGOLD_NS.parquet,3140,2014-01-01,2026-09-18,0,
SETFNIF50.NS,SETFNIF50_NS.parquet,2758,2015-07-23,2026-09-18,0,
SETFNIFBK.NS,SETFNIFBK_NS.parquet,2840,2015-03-25,2026-09-18,0,
SETFNN50.NS,SETFNN50_NS.parquet,2840,2015-03-25,2026-09-18,0,
SILVERBEES.NS,SILVERBEES_NS.parquet,1145,2022-02-04,2026-09-18,0,
TATAGOLD.NS,TATAGOLD_NS.parquet,666,2024-01-12,2026-09-18,0,
