ticker,raw_file,clean_file,rows,rows_changed,price_values_changed,rules_applied,rule_details,status
ALPHA.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\ALPHA_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\ALPHA_NS.parquet,1172,0,0,0,,APPLIED_AND_VERIFIED
AUTOBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\AUTOBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\AUTOBEES_NS.parquet,1151,0,0,0,,APPLIED_AND_VERIFIED
BANKBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\BANKBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\BANKBEES_NS.parquet,3139,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2019-12-19→2019-12-20|factor=9.802449,APPLIED_AND_VERIFIED
BSE500IETF.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\BSE500IETF_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\BSE500IETF_NS.parquet,680,0,0,0,,APPLIED_AND_VERIFIED
CONSUMBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\CONSUMBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\CONSUMBEES_NS.parquet,2910,0,0,0,,APPLIED_AND_VERIFIED
CPSEETF.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\CPSEETF_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\CPSEETF_NS.parquet,3076,0,0,0,,APPLIED_AND_VERIFIED
ESG.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\ESG_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\ESG_NS.parquet,750,0,0,0,,APPLIED_AND_VERIFIED
GOLDBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\GOLDBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\GOLDBEES_NS.parquet,3138,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2019-12-19→2019-12-20|factor=99.449328,APPLIED_AND_VERIFIED
HDFCGOLD.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\HDFCGOLD_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\HDFCGOLD_NS.parquet,793,0,0,0,,APPLIED_AND_VERIFIED
HDFCNEXT50.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\HDFCNEXT50_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\HDFCNEXT50_NS.parquet,1015,295,1475,1,PERSISTENT_SCALE_CHANGE|before=2023-10-20|factor=0.099644,APPLIED_AND_VERIFIED
HDFCNIFTY.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\HDFCNIFTY_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\HDFCNIFTY_NS.parquet,793,0,0,0,,APPLIED_AND_VERIFIED
HDFCSENSEX.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\HDFCSENSEX_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\HDFCSENSEX_NS.parquet,2045,0,0,0,,APPLIED_AND_VERIFIED
HNGSNGBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\HNGSNGBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\HNGSNGBEES_NS.parquet,3137,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2019-12-19→2019-12-20|factor=8.739887,APPLIED_AND_VERIFIED
ICICIB22.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\ICICIB22_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\ICICIB22_NS.parquet,1676,0,0,0,,APPLIED_AND_VERIFIED
