ticker,quote_type,short_name,long_name,exchange,currency,category,fund_family,fund_inception_date,total_assets,net_assets,expense_ratio,status,error
ALPHA.NS,EQUITY,KOTAKMAMC - KOTAKALPHA,Kotak Nifty Alpha 50 ETF,NSI,INR,,,,,,,NOT_ETF,
AUTOBEES.NS,EQUITY,NIPPONAMC - NETFAUTO,Nippon India Nifty Auto ETF,NSI,INR,,,,,,,NOT_ETF,
BANKBEES.NS,EQUITY,NIP IND ETF BANK BEES,Nippon India ETF Nifty Bank BeES,NSI,INR,,,,,,,NOT_ETF,
BSE500IETF.NS,EQUITY,ICICIPRAMC - ICICI500,,NSI,INR,,,,,,,NOT_ETF,
CONSUMBEES.NS,EQUITY,NIP IND ETF CONSUMPTION,Nippon India Mutual Fund - Nippon India ETF Nifty India Consumption,NSI,INR,,,,,,,NOT_ETF,
CPSEETF.NS,EQUITY,CPSE ETF,CPSE ETF,NSI,INR,,,,,,,NOT_ETF,
DYNAMIC.NS,MUTUALFUND,"DYNAMIC.NS,0P0001NGLR,107000",Dynamic Services & Security Limited,NSI,INR,,,,,,,POSSIBLE_COMPANY_NOT_ETF,
ESG.NS,EQUITY,MIRAEAMC - MAESGETF,,NSI,INR,,,,,,,NOT_ETF,
GOLDBEES.NS,EQUITY,NIP IND ETF GOLD BEES,Nippon India ETF Gold BeES,NSI,INR,,,,,,,NOT_ETF,
HDFCGOLD.NS,EQUITY,HDFC GOLD ETF,,NSI,INR,,,,,,,NOT_ETF,
HDFCNEXT50.NS,EQUITY,HDFCAMC - HDFCNEXT50,HDFC Nifty Next 50 ETF,NSI,INR,,,,,,,NOT_ETF,
HDFCNIFTY.NS,EQUITY,HDFCAMC - HDFCNIFTY,,NSI,INR,,,,,,,NOT_ETF,
HDFCSENSEX.NS,EQUITY,HDFCAMC - HDFCSENSEX,HDFC Mutual Fund - HDFC Sensex ETF,NSI,INR,,,,,,,NOT_ETF,
HNGSNGBEES.NS,EQUITY,NIP IND ETF HANGSENG BEES,Nippon India ETF Hang Seng BeES,NSI,INR,,,,,,,NOT_ETF,
ICICIB22.NS,EQUITY,ICICIPRAMC - BHARATIWIN,BHARAT 22 ETF,NSI,INR,,,,,,,NOT_ETF,
ITBEES.NS,EQUITY,NIP IND ETF IT,Nippon India ETF Nifty IT,NSI,INR,,,,,,,NOT_ETF,
JUNIORBEES.NS,EQUITY,NIP IND ETF JUNIOR BEES,Nippon India ETF Nifty Next 50 Junior BeES,NSI,INR,,,,,,,NOT_ETF,
LIQUIDBEES.NS,EQUITY,NIP IND ETF LIQUID BEES,Nippon India ETF Nifty 1D Rate Liquid BeES,NSI,INR,,,,,,,NOT_ETF,
LIQUIDCASE.NS,EQUITY,ZERODHAAMC - LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,NSI,INR,,,,,,,NOT_ETF,
LOWVOL1.NS,EQUITY,KOTAKMAMC - KOTAKLOVOL,Kotak Nifty 100 Low Volatality 30 ETF,NSI,INR,,,,,,,NOT_ETF,
MAFANG.NS,EQUITY,MIRAEAMC - MAFANG,Mirae Asset NYSE FANG+ETF,NSI,INR,,,,,,,NOT_ETF,
METAL.NS,EQUITY,MIRAEAMC - METAL,Mirae Asset Nifty Metal ETF,NSI,INR,,,,,,,NOT_ETF,
MID150BEES.NS,EQUITY,NIP IND ETF MIDCAP 150,Nippon India Mutual Fund -Nippon India ETF Nifty Midcap 150,NSI,INR,,,,,,,NOT_ETF,
MOM100.NS,EQUITY,MOTILAL OS MIDCAP100 ETF,Motilal Oswal Nifty Midcap 100 ETF,NSI,INR,,,,,,,NOT_ETF,
